sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
69,1,7,11.59,1,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/armeenia-teatas-aserabaidzaani-pealetungi-peatamisest-magi-karabahhi-rinde-pohjasuunal?id=91376553
95,2,9,11.58,1,Eesti Päevaleht,https://epl.delfi.ee/tagatuba/tagatuba-kas-opositsioon-on-nork?id=91642425
510,27,32,11.57,18,Uued Uudised,https://uueduudised.ee/arvamus/piret-kivi-toelist-vihakonet-ja-morvarite-mentaliteeti-esindavad-koroonasse-nakatunud-trumpile-surma-soovijad/
121,0,14,11.57,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/jarvamaal-teelt-valja-soitnud-mootorrattur-hukkus?id=90714445
52,2,4,11.54,1,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/rootsis-on-nakatunud-ule-10-000-meditsiinitootaja-ja-seda-kaks-kuud-vanadel-andmetel?id=90448277
61,4,3,11.48,3,Telegram,https://www.telegram.ee/maailm/covid-19-pandeemia-varjus-kui-palju-voib-tousta-enesetappude-ning-meelemurkide-pohjustatud-surmade-arv
61,0,7,11.48,0,Eesti Päevaleht,https://epl.delfi.ee/valismaa/dresdeni-juveelivarguse-jaljed-viisid-kurikuulsa-araablaste-klannini?id=91694337
61,1,6,11.48,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/altkaemaksukahtlus-tallinna-vanglas?id=90393547
558,26,38,11.47,11,Uued Uudised,https://uueduudised.ee/arvamus/viimase-traagilise-liiklusonnetuse-taustal-mille-eest-ja-miks-karistada/
323,19,18,11.46,7,Uued Uudised,https://uueduudised.ee/uudis/eesti/andrus-kivirahk-tunnistab-end-kuradi-liberaaliks/
70,6,2,11.43,1,Telegram,https://www.telegram.ee/nwo/ajaloo-pettus-kas-vana-kreeka-on-valjamoeldis
70,2,6,11.43,0,Eesti Päevaleht,https://epl.delfi.ee/uudised/riik-tahab-koikide-eesti-kodude-renoveerimist-korraldada-majandustsukli-jargi?id=90439027
79,8,1,11.39,2,Telegram,https://www.telegram.ee/arvamus/mobiilidieet-44-paeva-ilma-mobiiltelefonita
255,12,17,11.37,8,Uued Uudised,https://uueduudised.ee/uudis/eesti/video-rahandusminister-martin-helme-selles-kriisis-ei-tohi-korrata-eelmise-kriisi-saatuslikke-vigu/
141,10,6,11.35,6,Uued Uudised,https://uueduudised.ee/uudis/eesti/vihkajast-president-kogub-enda-umber-vihkajaid-sveta-grigorjeva-luule-toestab/
141,4,12,11.35,2,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/india-sonul-hukkus-esmaspaevases-kokkuporkes-hiinlaste-kae-labi-20-sodurit?id=90194611
203,1,22,11.33,5,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/iirlast-kirja-teel-harjapolvlaseks-nimetanud-sotlane-sai-karistada?id=90241595
62,1,6,11.29,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/fotod-sundmuskohalt-lasnamael-hukkus-9-korruse-aknast-valja-kukkunud-mees?id=90402525
213,14,10,11.27,8,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/video-koroonaaegse-kreeka-puhkusega-pahameelt-tekitanud-hollandi-kuningas-esines-vabandusega?id=91423893
445,5,45,11.24,18,Delfi,https://www.delfi.ee/news/paevauudised/krimi/riigikohus-jattis-sarimorvari-trellide-taha-eluaegse-vangi-vabastamiseks-peab-uue-kuriteo-risk-olema-eriti-madal?id=91584917
641,26,46,11.23,18,Telegram,https://www.telegram.ee/arvamus/89-vastajatest-taiskasvanul-peaks-olema-oigus-ise-otsustada-kanepi-tarvitamise-ule
107,9,3,11.21,1,Uued Uudised,https://uueduudised.ee/uudis/maailm/euroopa-komisjon-tegi-ettepaneku-sulgeda-el-i-piirid-mittehadavajalikule-reisimisele/
224,6,19,11.16,3,Uued Uudised,https://uueduudised.ee/arvamus/repliik/vordlus-meie-lahiajaloost-protest-ja-marodoorlus/
63,5,2,11.11,5,Eesti Päevaleht,https://epl.delfi.ee/tagatuba/tagatuba-kevadisel-rahvahaaletusel-samasooliste-abielu-pooldada-ei-saa?id=91499777
63,2,5,11.11,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/viking-linei-laeval-avastati-tehniline-rike-alus-jai-tallinna-seisma?id=90259191
135,0,15,11.11,1,Uued Uudised,https://uueduudised.ee/uudis/eesti/kaljulaidile-ja-teistele-ekrevihkajatele-poliitilise-vihkamise-ohutamine-on-seadusevastane/
81,1,8,11.11,0,Delfi,https://www.delfi.ee/news/paevauudised/liiklus/torm-mollab-riiast-tallinna-soitnud-lux-expressi-bussile-kukkus-puu-esiklaasi?id=91003895
649,55,17,11.09,10,Telegram,https://www.telegram.ee/arvamus/evelin-liiva-2
424,29,18,11.08,15,Uued Uudised,https://uueduudised.ee/arvamus/harri-kingo-margareth-neithalile-kus-on-sinu-moistus-naine/
651,25,47,11.06,22,Uued Uudised,https://uueduudised.ee/arvamus/juhtkiri/eestist-voib-tanu-avatusele-kiiresti-naistele-ohtlik-riik-saada-laane-kogemused-karjuvad-nakku/
181,1,19,11.05,6,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/islamiriik-vottis-omaks-runnaku-afganistani-vanglale-milles-hukkus-vahemalt-29-inimest?id=90630513
136,5,10,11.03,0,Eesti Päevaleht,https://epl.delfi.ee/valismaa/brasiilia-liigub-hoiatustest-hoolimata-katastroofi-poole?id=90187873
118,10,3,11.02,5,Telegram,https://www.telegram.ee/arvamus/kas-peaks-valitsuse-jatma-suvetoole-voi-kukutama-labi
200,10,12,11.0,4,Uued Uudised,https://uueduudised.ee/uudis/maailm/edward-lucas-trumpi-poliitika-polnud-nii-halb-nagu-vaidavad-kriitikud/
100,7,4,11.0,2,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/milonov-kui-armeenia-palub-venemaad-vaed-sisse-viia-siis-me-hakkame-seda-arutama?id=91387083
183,12,8,10.93,5,Delfi,https://www.delfi.ee/news/paevauudised/eesti/omaste-esindaja-ohvrid-ja-omaksed-ei-ole-taotlenud-estonia-vraki-ulestostmist-ega-surnukehade-valjatoomist?id=91251915
55,4,2,10.91,1,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/viisnurk-tursunud-olavarrel-kuidas-ma-peterburis-omal-nahal-koroonaviiruse-vaktsiini-testisin?id=91690875
55,0,6,10.91,0,Delfi,https://www.delfi.ee/news/paevauudised/eesti/inimoiguste-aktivist-ennustab-sundmuste-kulgu-valgevenes-ohvreid-on-molemal-pool-vagivald-jouab-tanavatele?id=90695043
101,0,11,10.89,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/vahejuhtum-viru-vanglas-end-kambrisse-lukustanud-kriminaal-kutsuti-korrale-pipragaasiga?id=90200685
147,4,12,10.88,2,Uued Uudised,https://uueduudised.ee/uudis/eesti/koroonaviirus-noudis-eestis-esimese-inimelu/
166,2,16,10.84,1,Telegram,https://www.telegram.ee/maailm/kenya-karmistab-elevantide-paastmise-nimel-salakuttimise-karistusi
240,16,10,10.83,3,Telegram,https://www.telegram.ee/maailm/endine-valisminister-suuria-soda-planeeriti-juba-aastaid-tagasi
102,3,8,10.78,1,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/trump-teatas-populaarse-rakenduse-tiktok-peatsest-keelustamisest?id=90616333
130,2,12,10.77,2,Eesti Päevaleht,https://epl.delfi.ee/uudised/kohtupidamiseks-liiga-haige-valla-juhtimiseks-piisavalt-terve?id=91663903
1232,89,43,10.71,47,Telegram,https://www.telegram.ee/arvamus/carmen-pritsoni-vabadus-vabalt-hingata-kone-kusimus-ei-ole-juba-ammu-ainult-maskides-kusimus-on-fookuses
112,8,4,10.71,8,Delfi,https://www.delfi.ee/news/paevauudised/eesti/video-president-kaljulaid-vordse-kohtlemise-vastu-tehtud-vead-on-tihtipeale-olnud-ausad-apsakad?id=90797373
56,5,1,10.71,1,Telegram,https://www.telegram.ee/nwo/keemia-vandenou-1-osa-susinikku-pole-olemas
56,2,4,10.71,0,Eesti Päevaleht,https://epl.delfi.ee/uudised/perearstide-seltsi-esinaine-le-vallikivi-iga-koha-puhul-ei-pea-lapsi-kodus-hoidma?id=91023177
655,39,31,10.69,15,Telegram,https://www.telegram.ee/arvamus/repliik-sobrad-kaotavad-paevapealt-too-aitah-et-hoolid
206,17,5,10.68,3,Telegram,https://www.telegram.ee/eesti/kevadise-eriolukorra-meditsiinijuht-dr-arkadi-popov-oues-maski-ei-kanna
75,5,3,10.67,0,Eesti Päevaleht,https://epl.delfi.ee/uudised/tallinna-linnapea-mihhail-kolvart-kollase-stsenaariumi-rakendamisest-lahtun-sellest-et-teine-laine-on-kohal?id=91020731
141,5,10,10.64,4,Uued Uudised,https://uueduudised.ee/uudis/maailm/stockholmis-tapeti-nooruk-politsei-arvates-pole-vaja-juhtumi-parast-muretseda/
688,52,21,10.61,20,Telegram,https://www.telegram.ee/toit-ja-tervis/telegrami-lugeja-beebipillid-tekitasid-mulle-insuldi
85,5,4,10.59,5,Eesti Päevaleht,https://epl.delfi.ee/uudised/oigusteadlane-igor-grazin-raske-uskuda-et-nii-kvalifitseeritud-advokaat-nagu-louis-freeh-laseks-end-niimoodi-vahele-votta?id=90594705
189,14,6,10.58,5,Uued Uudised,https://uueduudised.ee/arvamus/repliik/rail-baltic-huvitab-otseselt-vaga-kitsast-seltskonda/
123,3,10,10.57,0,Eesti Päevaleht,https://epl.delfi.ee/valismaa/epsteini-kallima-dramaatiline-langus-ghislaine-maxwell-astub-kohtu-ette?id=90403641
483,21,30,10.56,18,Uued Uudised,https://uueduudised.ee/arvamus/vale-on-poliitikasse-sisse-kodeeritud-ehk-uldrahvalik-skandaal-tuhistest-ebatapsustest-mis-midagi-ei-mojuta/
142,10,5,10.56,7,Eesti Päevaleht,https://epl.delfi.ee/uudised/juri-luik-martin-helmel-polnud-kaitsele-300-miljonit-lisaeurot-see-oli-parteipoliitiline-avaldus?id=91198095
76,3,5,10.53,1,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/louna-korea-lehe-vaitel-konfiskeeritakse-pohjakorealastelt-koeri-et-anda-nad-lihatoostusele?id=90758715
95,0,10,10.53,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/tartu-vanglas-hammustas-kinnipeetav-ametnikku-kaest?id=90476543
124,2,11,10.48,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/savisaare-protsess-jatkub-prokuratuur-vaidlustas-ringkonnakohtu-otsuse-tuulbergi-ja-kofkini-osas?id=90513715
210,1,21,10.48,2,Uued Uudised,https://uueduudised.ee/uudis/maailm/meedia-saksamaal-elavat-suuria-arsti-suudistatakse-sojakuritegudes/
1166,79,43,10.46,68,Telegram,https://www.telegram.ee/vaimsus/ted-pogenemine-pohja-koreast
220,21,2,10.45,7,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/macron-prantsusmaa-parim-partner-malis-on-eesti?id=91685219
67,4,3,10.45,4,Telegram,https://www.telegram.ee/arvamus/sveitsi-teadlane-maailm-on-koroonaviirusest-raakides-viies-asjas-eksinud-err
163,14,3,10.43,4,Uued Uudised,https://uueduudised.ee/uudis/eesti/uute-piirirajatiste-ehitus-hakkas-parmust-luhamaa-poole-liikuma/
345,21,15,10.43,3,Uued Uudised,https://uueduudised.ee/arvamus/repliik/harri-kingo-kes-on-meil-tegelikult-homofoobid/
307,14,18,10.42,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/video-new-yorgi-linnapea-politseinike-protestijatele-otsa-soitmisest-hairiv-jah-ent-suu-lasub-provotseerijatel?id=90028933
202,5,16,10.4,1,Delfi,https://www.delfi.ee/news/paevauudised/eesti/politsei-kahtlustab-salaparaste-aravete-pangaroovlitena-kahte-33-aastast-lounaeurooplast?id=90001167
337,8,27,10.39,6,Telegram,https://www.telegram.ee/eesti/eesti-metsa-abiks-leiab-et-raiumise-kiirus-ei-oigusta-ebaseaduslikku-praktikat
279,24,5,10.39,3,Uued Uudised,https://uueduudised.ee/uudis/eesti/jaak-madison-mis-on-moodukus-kas-see-kui-utleme-et-meile-pole-oluline-rahvusriik/
270,3,25,10.37,4,Uued Uudised,https://uueduudised.ee/uudis/maailm/uro-politseitoo-ei-tohi-olla-seotud-rassismiga-aga-kui-pahalased-ongi-peamiselt-uhest-rassist/
58,3,3,10.34,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/gaasiplahvatus-puhkis-usas-minema-kolm-elumaja-uks-inimene-suri-ja-kolm-on-kriitilises-seisus?id=90695519
87,2,7,10.34,0,Delfi,https://www.delfi.ee/news/paevauudised/eesti/fotod-harjumaal-porkasid-kokku-soiduauto-ja-veoauto?id=91395123
184,4,15,10.33,3,Uued Uudised,https://uueduudised.ee/uudis/maailm/voimud-sakslased-on-muutumas-vagivallaaltimaks/
1337,70,68,10.32,36,Telegram,https://www.telegram.ee/nwo/kas-maailmavalitsejad-ei-olegi-halvad-2-osa-kas-nad-takistavad-sinu-elu-ja-edu
233,13,11,10.3,5,Uued Uudised,https://uueduudised.ee/arvamus/lugeja-kirjutab/nelja-lapse-ema-pohikooli-eksamite-kaotamisega-tahetakse-ara-nullida-meie-laste-tulevik/
68,6,1,10.29,0,Telegram,https://www.telegram.ee/teadus-ja-tulevik/kas-satelliidid-on-olemas-telegram-kais-kuu-peal-osa-2-3
68,4,3,10.29,0,Telegram,https://www.telegram.ee/maailm/video-kuidas-inimtegevus-voib-loodust-mojutada
467,21,27,10.28,7,Uued Uudised,https://uueduudised.ee/arvamus/lugeja-kirjutab/prugistamine-ja-laste-karistamatus/
185,2,17,10.27,2,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/peterburi-ajaloolane-sokolov-tunnistas-end-kohtus-noore-armukese-morvas-ja-tukeldamises-suudi?id=91329187
497,46,5,10.26,24,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/video-trump-tegi-haiglast-videopoordumise-mul-laheb-paremini-kuid-paar-jargmist-paeva-saavad-olema-toeline-valjakutse?id=91250103
78,4,4,10.26,2,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/ulevaade-kas-rootsi-koroonaviiruse-strateegiat-on-vara-maha-kanda?id=90281087
117,9,3,10.26,0,Telegram,https://www.telegram.ee/teadus-ja-tulevik/hawking-valjasuremise-valtimiseks-on-meil-vaja-uut-planeeti
283,12,17,10.25,4,Delfi,https://www.delfi.ee/news/paevauudised/eesti/mart-helme-lihula-traagika-taustal-eestis-pole-liiga-palju-relvi-kusimus-on-pigem-selles-miks-oli-tollel-tulistajal-relvaluba?id=90098649
420,7,36,10.24,5,Telegram,https://www.telegram.ee/maailm/pealtnagijad-dzohhar-tsarnajev-ei-tulistanud-politseinikku
88,0,9,10.23,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/viru-vanglas-on-koroonaviirus-tuvastatud-86-vangil-ja-kahel-ametnikul?id=91540303
549,20,36,10.2,19,Uued Uudised,https://uueduudised.ee/arvamus/juhtkiri/eesti-sai-tunda-mali-korbesoja-kulma-surmahingust-kas-mali-on-vaart-meie-sodurite-ohverdust/
147,7,8,10.2,3,Telegram,https://www.telegram.ee/maailm/berlusconi-lubab-minna-suudimoistmise-korral-vangi
196,8,12,10.2,2,Uued Uudised,https://uueduudised.ee/uudis/eesti/rahandusminister-martin-helme-pankade-ulereageerimine-takistab-aritegevust/
98,0,10,10.2,0,Eesti Päevaleht,https://epl.delfi.ee/uudised/paljude-volgade-aegumine-toob-kergendust-tuhandetele?id=90459161
363,3,34,10.19,12,Delfi,https://www.delfi.ee/news/paevauudised/eesti/ringkonnakohus-tuhistas-osaliselt-kallo-ja-kunmani-kohtuotsused-karistused-jaid-aga-samaks?id=90249779
216,11,11,10.19,10,Uued Uudised,https://uueduudised.ee/arvamus/repliik/kuidas-suunata-saatekulalist-nii-et-ta-raagiks-ekre-st-halvasti-rangelt-professionaalse-ajakirjaniku-anna-pihli-meelespea-opetab/
157,6,10,10.19,3,Eesti Päevaleht,https://epl.delfi.ee/uudised/sobrad-ta-tappis-oma-elukaaslase-ja-laks-linna-peale-viina-jooma?id=89979551
157,4,12,10.19,2,Eesti Päevaleht,https://epl.delfi.ee/valismaa/trumpi-suudistatakse-veteranide-pilkamises-ja-abordi-toetamises?id=90962637
118,3,9,10.17,7,Uued Uudised,https://uueduudised.ee/arvamus/jaak-madison-toestus-et-ka-peaprokurori-puhul-on-uuendused-head/
59,0,6,10.17,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/fotod-sundmuskohalt-parnu-pubis-ahvardas-purjus-mees-kohalolijaid-vagivalla-ja-relva-kasutamisega?id=91263163
780,43,36,10.13,15,Uued Uudised,https://uueduudised.ee/arvamus/piret-kivi-bioloogilisest-surmast-ja-lihtsalt-surmast-bioloogilisest-soost-ja-mingitest-teistest-sugudest/
227,12,11,10.13,7,Uued Uudised,https://uueduudised.ee/arvamus/repliik/harri-kingo-elan-rohkem-kaasa-demokraatide-kaotusele-kui-vabariiklaste-voidule/
494,20,30,10.12,12,Uued Uudised,https://uueduudised.ee/arvamus/leo-kunnas-politsei-ja-piirivalve-rollist-sojalises-konfliktis/
425,27,16,10.12,7,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/trump-meil-ei-ole-aleksei-navalnoi-murgitamise-kohta-veel-ainsamatki-toendit?id=90955733
168,8,9,10.12,6,Eesti Päevaleht,https://epl.delfi.ee/uudised/tuleval-nadalal-antsla-lahistel-toimuv-hipilaager-teeb-abivallavanema-murelikuks?id=90454693
297,8,22,10.1,7,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/trump-hoiatas-iseseisvuspaeva-eelses-kones-usa-senist-poliitilist-susteemi-havitada-puudva-vasakpoolse-fasismi-eest?id=90355891
99,5,5,10.1,1,Uued Uudised,https://uueduudised.ee/arvamus/paeva-karikatuur-seda-nad-tahaksid/
109,1,10,10.09,2,Eesti Päevaleht,https://epl.delfi.ee/uudised/lihula-tulistamise-ohvreid-abistanud-kiirreageerija-sai-teenetemargi?id=90353851
546,30,25,10.07,30,Uued Uudised,https://uueduudised.ee/arvamus/liberaalse-vabaduse-surmahaare-ehk-vabameelsus-ei-ole-vabadusemeelsus/
318,6,26,10.06,10,Telegram,https://www.telegram.ee/eesti/terviseamet-ja-valitsus-saavad-hadaolukordadeks-suuremad-oigused
